model,dtype,brand,brand_title,code,code_alias,model_name,ver_name,source_file
A2105,mob,apple,Apple,N841AP,"iPhone11,8",iPhone XR,GSM,apple_all
A2106,mob,apple,Apple,N841AP,"iPhone11,8",iPhone XR,日本,apple_all
A2108,mob,apple,Apple,N841AP,"iPhone11,8",iPhone XR,中国大陆 & 港澳,apple_all
A2107,mob,apple,Apple,N841AP,"iPhone11,8",iPhone XR,中国移动,apple_all
A2111,mob,apple,Apple,N104AP,"iPhone12,1",iPhone 11,北美,apple_all
A2223,mob,apple,Apple,N104AP,"iPhone12,1",iPhone 11,中国大陆 & 港澳,apple_all
A2221,mob,apple,Apple,N104AP,"iPhone12,1",iPhone 11,其他国家和地区,apple_all
A2160,mob,apple,Apple,D421AP,"iPhone12,3",iPhone 11 Pro,北美,apple_all
A2217,mob,apple,Apple,D421AP,"iPhone12,3",iPhone 11 Pro,中国大陆 & 港澳,apple_all
A2215,mob,apple,Apple,D421AP,"iPhone12,3",iPhone 11 Pro,其他国家和地区,apple_all
A2161,mob,apple,Apple,D431AP,"iPhone12,5",iPhone 11 Pro Max,北美,apple_all
A2220,mob,apple,Apple,D431AP,"iPhone12,5",iPhone 11 Pro Max,中国大陆 & 港澳,apple_all
A2218,mob,apple,Apple,D431AP,"iPhone12,5",iPhone 11 Pro Max,其他国家和地区,apple_all
A2275,mob,apple,Apple,D79AP,"iPhone12,8",iPhone SE (第 2 代),北美,apple_all
A2298,mob,apple,Apple,D79AP,"iPhone12,8",iPhone SE (第 2 代),中国大陆,apple_all
A2296,mob,apple,Apple,D79AP,"iPhone12,8",iPhone SE (第 2 代),其他国家和地区,apple_all
A2176,mob,apple,Apple,D52gAP,"iPhone13,1",iPhone 12 mini,美国,apple_all
A2398,mob,apple,Apple,D52gAP,"iPhone13,1",iPhone 12 mini,加拿大，日本,apple_all
A2400,mob,apple,Apple,D52gAP,"iPhone13,1",iPhone 12 mini,中国大陆,apple_all
A2399,mob,apple,Apple,D52gAP,"iPhone13,1",iPhone 12 mini,其他国家和地区,apple_all
A2172,mob,apple,Apple,D53gAP,"iPhone13,2",iPhone 12,美国,apple_all
A2402,mob,apple,Apple,D53gAP,"iPhone13,2",iPhone 12,加拿大，日本,apple_all
A2404,mob,apple,Apple,D53gAP,"iPhone13,2",iPhone 12,中国大陆 & 港澳,apple_all
A2403,mob,apple,Apple,D53gAP,"iPhone13,2",iPhone 12,其他国家和地区,apple_all
A2341,mob,apple,Apple,D53pAP,"iPhone13,3",iPhone 12 Pro,美国,apple_all
A2406,mob,apple,Apple,D53pAP,"iPhone13,3",iPhone 12 Pro,加拿大，日本,apple_all
A2408,mob,apple,Apple,D53pAP,"iPhone13,3",iPhone 12 Pro,中国大陆 & 港澳,apple_all
A2407,mob,apple,Apple,D53pAP,"iPhone13,3",iPhone 12 Pro,其他国家和地区,apple_all
A2342,mob,apple,Apple,D54pAP,"iPhone13,4",iPhone 12 Pro Max,美国,apple_all
A2410,mob,apple,Apple,D54pAP,"iPhone13,4",iPhone 12 Pro Max,加拿大，日本,apple_all
A2412,mob,apple,Apple,D54pAP,"iPhone13,4",iPhone 12 Pro Max,中国大陆 & 港澳,apple_all
